Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
0.229219401,52.3346989,4.864971,9.471684782,,,15.26299953,1.178819418,2024-06-04 14:43:38.229219
20.2862194,52.3346986,4.8649533,9.47167423,,,15.38799953,1.0,2024-06-04 14:43:58.286219
40.9002194,52.3346992,4.864954,9.471675475,,,15.47799969,1.0,2024-06-04 14:44:18.900219
60.9112194,52.3347051,4.8649734,9.471694875,,,14.5539999,1.089625359,2024-06-04 14:44:38.911219
68.8492194,52.3347041,4.8649664,9.471689463,,,13.50500011,1.0,2024-06-04 14:44:46.849219
76.1292194,52.3347033,4.864964,9.471686964,,,13.70499992,1.0,2024-06-04 14:44:54.129219
84.3182194,52.3346973,4.8649568,9.471674405,,,13.76500034,1.0,2024-06-04 14:45:02.318219
93.1222194,52.3347024,4.8649696,9.471688903,,,13.77000046,1.0,2024-06-04 14:45:11.122219
113.1882194,52.3347051,4.86496,9.471687207,,,14.31499958,1.0,2024-06-04 14:45:31.188219
133.2022194,52.3347036,4.8649758,9.471694139,,,15.0,1.0,2024-06-04 14:45:51.202219
